,0,1,2,3,4,5
0,"
Вопрос 18: Болельщики российского футбольного клуба могут оформить специальную карту. На неё возвращается часть потраченных на билет денег, но не в рублях, а в дена́риях. Назовите этот клуб.        ","
Ответ: Спартак (Москва).    ","
Зачёт: Спартак без неверных уточнений.    ","
Комментарий: денарий – древнеримская серебряная монета. Из всех российских клубов с Римом прежде всего ассоциируется Спартак.    ","
Источник(и): https://www.sports.ru/tribuna/blogs/whithoutpants/1258546.html    ","
Автор: Андрей Ситников (Нефтеюганск)    "
1,"
Вопрос 128: Паша́ города Ви́дин Осма́н Пазвантоглу́ правил всего около двухсот лет назад. Несмотря на это, в балканских языках есть выражение, в котором упоминается Осма́н Пазвантоглу́. В русском аналоге этого выражения упоминается другой правитель. Какой?        ","
Ответ: [царь] Горох.    ","
Комментарий: румыны говорят о чём-то древнем, что «это было еще при Пазванте-одноглазом», хотя с исторической точки зрения это было не так уж и давно. Мы же говорим, что «это было при царе Горохе».    ","
Источник(и): Андрей Шарый. Дунай. Река империй // http://flibusta.is/b/420522/read    ","
Автор: Валерий Семёнов (Могилёв)    ",
2,"
Вопрос 124: ЕЁ составители утверждают, что ОНА пополняется во многом благодаря более точному и подробному изучению природы. Назовите ЕЁ двумя словами, начинающимися на одну и ту же букву.        ","
Ответ: Красная книга.    ","
Комментарий: в этом вопросе речь идет конкретно о Красной книге Беларуси, но это не принципиально, так как ситуация характерна для всех стран. С каждым изданием Красная книга Беларуси увеличивается, но это связано в первую очередь не с ухудшением состояния природы Беларуси, а с тем, что учёные обнаруживают ранее неизвестные на территории Беларуси популяции растений и животных, которые сразу же попадают в Красную книгу, так как они редкие.    ","
Источник(и): https://planetabelarus.by/publications/istoriya-i-traditsii/chitaem-pered-vykhodom-v-les-krasnaya-kniga-belarusi/    ","
Автор: Валерий Семёнов (Могилёв)    ",
3,"
Вопрос 149: Герою папуасской сказки божество Га́нуми является в виде ребёнка, юноши, взрослого мужчины и седого-седого старика. Потом Гануми ещё и помог герою доплыть домой. Богом чего был Гануми?        ","
Ответ: месяц    ","
Зачёт: луна, лунный цикл, фазы луны.    ","
Комментарий: до дома помог добраться прилив. Герой видел и молодого и стареющего Гануми – то есть молодой и стареющий месяц.    ","
Источник(и): https://мир-детей.дети/to-kids/fairytales/skazki-narodov-avstralii-i-okeanii/3290-stranstvie-khivio-ganumi-i-duo.html    ","
Автор: Константин Костенко (Гремячинск — Пермь)    "
4,"
Вопрос 65: [Ведущему: отточие в цитате игнорировать]

    В конце семидесятых художнику сказали: «На авторство вы вообще не имеете права претендовать. Автором <…> является советский народ». Ответьте двумя словами: кого изобразил художник?        ","
Ответ: Олимпийского Мишку.    ","
Зачёт: Олимпийского медведя.    ","
Комментарий: в 1966 году в Англии автор талисмана чемпионата мира по футболу получил почти 7 млн. фунтов стерлингов. А вот Виктор Чижиков не стал сказочно богатым, хотя и создал легендарный символ Олимпиады-80. В Управлении авторских прав претензии художника отвергли.    ","
Источник(и): 
    1. https://ru.wikipedia.org/wiki/Чижиков,_Виктор_Александрович

    2. https://ru.wikipedia.org/wiki/Олимпийский_Мишка

    3. https://ru.wikipedia.org/wiki/Олимпийские_талисманы

    4. https://harmfulgrumpy.livejournal.com/738921.html    ","
Авторы: Михаил Локшин, Дмитрий Петров (Санкт-Петербург)    "
5,"
Вопрос 118: В 2017 году Усейн Болт был лишён одной из золотых медалей, выигранных на Олимпиаде в Пекине. При этом сам ямаец ничего не нарушал. Какое слово французского происхождения упоминается в объяснении этой истории?        ","
Ответ: эстафета    ","
Комментарий: сам Болт допинг не принимал, а вот его партнер по эстафете 4x100 – да. Из-за него вся команда была лишена золотых медалей.    ","
Источник(и): 
    1. Дилетант. №4/2018, страница 65

    2. https://rg.ru/2017/01/25/usejna-bolta-lishili-zolotoj-medali-olimpijskih-igr-2008.html    ","
Автор: Евгений Лешкович (Минск)    ",
6,"
Вопрос 101: Бру́но Лату́р писал, что после того, как в пятнадцатом веке было изобретено ОНО, факты стали «твёрже», а до того были слишком пода́тливыми, чтобы считаться надёжными. Назовите ЕГО двухкоренным словом.        ","
Ответ: книгопечатание.    ","
Комментарий: философ полагает, что до того, как Иоганн Гутенбе́рг изобрёл печатный станок, факты очень часто искажали, поскольку человеческая память слишком слаба. С появлением же книгопечатания факты стало очень просто множить и распространять.    ","
Источник(и): Дэвид Вуттон. Изобретение науки. Новая история научной революции. // https://books.google.ru/books?id=Z85eDwAAQBAJ&pg=PT679&dq=печатный+станок+сделал+факты+тверже    ","
Автор: Сергей Терентьев (Санкт-Петербург)    ",
7,"
Вопрос 158: Один художник в ответ на просьбу нарисовать машину, превращающую плохих людей в хороших, изобразил ЭТО. Одна из первых моделей ЭТОГО продавалась под названием «Бродяга». Назовите ЭТО.        ","
Ответ: велосипед.    ","
Комментарий: на рисунке рядом с велосипедом изображён почтальон Печкин, который утверждал, что был злым только потому, что у него велосипеда не было.    ","
Источник(и): 
    1. https://en.wikipedia.org/wiki/Rover_Company#Before_cars

    2. https://vk.com/@odaisy-comics43    ","
Автор: Юлия Лунёва (Каменское)    ",
8,"
Вопрос 144: Военный фотограф Роберт Капа сделал свой последний снимок, стоя на НЁМ. ОНО является игровым пространством компьютерной игры. Какой игры?        ","
Ответ: Сапёр.    ","
Комментарий: Роберт Капа – один из величайших военных фотокорреспондентов, известный, в том числе, отчаянной смелостью. Он прославился своими снимками на полях гражданской войны в Испании и Второй мировой войны. В частности, задокументировал высадку американских войск в Нормандии. Погиб Капа в 1954 году в Индокитае, где тогда шла война за независимость от Франции. В поисках лучшей точки для съёмки он отошёл в сторону от проверенной дороги и подорвался на мине.    ","
Источник(и): Роберт Капа: легенда фотожурналистики // http://n-europe.eu/photo/2013/10/22/robert_kapa_legenda_fotozhurnalistiki    ","
Автор: Тимофей Боков (Санкт-Петербург — Дамаск)    ",
9,"
Вопрос 35: В романе, действие которого происходит в 1878 году, Борис Акунин называет этим словом работающего хирурга. В одном из современных значений это слово тогда использоваться не могло, ведь до появления известного изобретения оставалось более 15 лет. Напишите это слово.        ","
Ответ: оператор.    ","
Комментарий: Акунин называет оператором хирурга, выполняющего операцию. Сейчас оператором называют человека, ведущего съёмку.    ","
Источник(и): Б. Акунин. Алмазная колесница // http://lib.ru/RUSS_DETEKTIW/BAKUNIN/kolesnica.txt_with-big-pictures.html    ","
Автор: Александр Булавчук (Красноярск)    ",
